dimension_reduction_type,model,n_estimators,max_depth,learning_rate,rmse,mae,r2,spearman_r,within_1_acc
"Ridge (alpha=1.0, top-100)",Gradient Boosting,200,5,0.1,1.2704904313166858,1.0385744493730942,0.38327178545537177,0.6170792544676704,0.7909090909090909
PCA (n_components=50),Gradient Boosting,50,2,0.05,1.2692383774674887,1.010451283449491,0.3844867437582725,0.6480632392701356,0.7545454545454545
PCA (n_components=50),Gradient Boosting,50,2,0.1,1.208439270164856,0.9505116201956644,0.4420430647293411,0.6770507857661326,0.8
PCA (n_components=50),Gradient Boosting,50,3,0.05,1.2487964403836747,0.9766720715973971,0.4041535934468806,0.6435631843345396,0.7727272727272727
PCA (n_components=50),Gradient Boosting,50,3,0.1,1.1943846204001423,0.9071645314661807,0.4549461328262484,0.6651274844716125,0.7727272727272727
PCA (n_components=50),Gradient Boosting,50,5,0.05,1.2557100368652803,0.9533223723777863,0.39753787205535807,0.6135751133292963,0.7727272727272727
PCA (n_components=50),Gradient Boosting,50,5,0.1,1.2381090496159035,0.9434530035547406,0.41430864167597237,0.6149398840884525,0.7909090909090909
PCA (n_components=50),Gradient Boosting,100,2,0.05,1.196639400762468,0.9359132233647393,0.45288626571626445,0.6886605586430088,0.7909090909090909
PCA (n_components=50),Gradient Boosting,100,2,0.1,1.168300936008995,0.9066719200356204,0.4784926068817493,0.6935433026766115,0.8181818181818182
PCA (n_components=50),Gradient Boosting,100,3,0.05,1.2088404914772315,0.9328355812457875,0.44167250183452367,0.6566253314990311,0.7818181818181819
PCA (n_components=50),Gradient Boosting,100,3,0.1,1.1897754378094851,0.8925044468624375,0.45914478928231073,0.6594194229856821,0.8
PCA (n_components=50),Gradient Boosting,100,5,0.05,1.2414333461757763,0.929450738232909,0.41115928159190573,0.6202283707801829,0.7818181818181819
