dimension_reduction_type,model,alpha,rmse,mae,r2,spearman_r,within_1_acc
"Ridge (alpha=1.0, top-100)",Poisson Regression,0.1,1.582824175167435,1.177934237422146,0.022660432034285027,0.6465077080913366,0.7431192660550459
"Ridge (alpha=1.0, top-100)",Poisson Regression,0.5,1.4344852172811158,1.105036571620526,0.19726483877122947,0.6622768826081435,0.7522935779816514
"Ridge (alpha=1.0, top-100)",Poisson Regression,1.0,1.3622795586148164,1.0782357784007301,0.2760432662222616,0.6707304118214527,0.7431192660550459
"Ridge (alpha=1.0, top-100)",Poisson Regression,5.0,1.2942436033127367,1.0595385309440155,0.34655026456100435,0.658825301415048,0.7339449541284404
"Ridge (alpha=1.0, top-100)",Poisson Regression,10.0,1.3258889585837212,1.0908034086313467,0.3142048015562814,0.6446633879208501,0.7155963302752294
PCA (n_components=50),Poisson Regression,0.1,1.2299383780540862,0.9560069719550919,0.4098711615287506,0.669834328242476,0.7522935779816514
PCA (n_components=50),Poisson Regression,0.5,1.1895454080957855,0.9345118107366545,0.44799605463657277,0.680298119029786,0.7889908256880734
PCA (n_components=50),Poisson Regression,1.0,1.1870919434668672,0.9482082029008507,0.45027074795310285,0.684057877115122,0.7981651376146789
PCA (n_components=50),Poisson Regression,5.0,1.354908255424743,1.1099046418337726,0.2838567383069379,0.6839393475411834,0.5963302752293578
PCA (n_components=50),Poisson Regression,10.0,1.4618429059246636,1.2185605045802441,0.16635424868280413,0.6804213897866821,0.5871559633027523
"Lasso->PCA (top-100, 95%var)",Poisson Regression,0.1,1.3409025738741143,1.0898585293169316,0.29858575631518725,0.5870817209014216,0.7247706422018348
"Lasso->PCA (top-100, 95%var)",Poisson Regression,0.5,1.3367130595439223,1.0885632212651568,0.3029619047793468,0.5881105576032096,0.6880733944954128
"Lasso->PCA (top-100, 95%var)",Poisson Regression,1.0,1.3472154929620612,1.0951414855055124,0.2919657455617495,0.5893811946358326,0.6880733944954128
"Lasso->PCA (top-100, 95%var)",Poisson Regression,5.0,1.4636879606111797,1.22084975800507,0.16424856050108871,0.5876316981244972,0.5871559633027523
"Lasso->PCA (top-100, 95%var)",Poisson Regression,10.0,1.5313975292604858,1.2855091024932805,0.0851370999875537,0.5862614962497658,0.5963302752293578
"Ridge->PCA (top-100, 95%var)",Poisson Regression,0.1,1.5112606751970519,1.1618935469752318,0.10903858713602077,0.6229155816945744,0.7155963302752294
"Ridge->PCA (top-100, 95%var)",Poisson Regression,0.5,1.4045990603537308,1.1060607768771236,0.23036487653540294,0.6378218609131074,0.7339449541284404
"Ridge->PCA (top-100, 95%var)",Poisson Regression,1.0,1.3538829648360722,1.0795022820682518,0.2849401727454216,0.6477451568432567,0.7614678899082569
"Ridge->PCA (top-100, 95%var)",Poisson Regression,5.0,1.4135172597104848,1.1586654914752308,0.22056058484972307,0.6595933730541709,0.6146788990825688
"Ridge->PCA (top-100, 95%var)",Poisson Regression,10.0,1.494172603102188,1.2377474565778743,0.12907316936043622,0.6585787599012555,0.6055045871559633
"ElasticNet (top-200, l1r=0.5)",Poisson Regression,0.1,1.6887655802842025,1.3369983246707233,-0.11254828765427227,0.4931494041464673,0.6880733944954128
"ElasticNet (top-200, l1r=0.5)",Poisson Regression,0.5,1.5011608314518237,1.2168488257663652,0.12090748865782619,0.5464355594063569,0.7155963302752294
"ElasticNet (top-200, l1r=0.5)",Poisson Regression,1.0,1.4164906236610701,1.1568990050716488,0.21727800084406057,0.5724599126603415,0.7247706422018348
"ElasticNet (top-200, l1r=0.5)",Poisson Regression,5.0,1.2950270280739595,1.0694675974900976,0.34575893958841386,0.6153533948772844,0.7339449541284404
"ElasticNet (top-200, l1r=0.5)",Poisson Regression,10.0,1.301007629331872,1.0783035636496436,0.339702247911122,0.6272585052836891,0.7155963302752294
"ElasticNet->PCA (top-200, 95%var)",Poisson Regression,0.1,1.3296691958563633,1.049456019028229,0.3102886904178819,0.6125181674686702,0.7706422018348624
"ElasticNet->PCA (top-200, 95%var)",Poisson Regression,0.5,1.2858551594360506,1.029430136965668,0.3549932854890666,0.6180463867971718,0.7889908256880734
"ElasticNet->PCA (top-200, 95%var)",Poisson Regression,1.0,1.2761478292956674,1.032281838653557,0.3646952473729702,0.6187860113385495,0.7798165137614679
"ElasticNet->PCA (top-200, 95%var)",Poisson Regression,5.0,1.4055369892301117,1.1620712444689,0.2293366770427705,0.6209669554990219,0.6055045871559633
"ElasticNet->PCA (top-200, 95%var)",Poisson Regression,10.0,1.4943880501875881,1.2511239760488946,0.1288219906481194,0.6188571290829128,0.5871559633027523
