dimension_reduction_type,model,n_estimators,max_depth,rmse,mae,r2,spearman_r,within_1_acc,qwk
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Random Forest,10,20.0,1.1841375841437591,0.9236363636363636,0.45578650243777263,0.6541801648916193,0.7909090909090909,0.4859952324195471
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Random Forest,10,30.0,1.1630680430341438,0.9327272727272726,0.4749807544264819,0.677088780248153,0.8090909090909091,0.5061821471652594
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Random Forest,10,,1.1741534668161413,0.9045454545454545,0.4649249422632795,0.670121905745562,0.8363636363636363,0.5513200830614061
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Random Forest,20,10.0,1.1548994056302433,0.896151946571372,0.48232964751047014,0.6892349559231394,0.8090909090909091,0.4865599516762308
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Random Forest,20,20.0,1.1501679719225204,0.9031818181818183,0.4865625801898896,0.6917211800342415,0.8363636363636363,0.5608628659476116
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Random Forest,20,30.0,1.0517085666147772,0.8327272727272726,0.5707050295098794,0.7542463822979439,0.8454545454545455,0.5675635718509757
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Random Forest,20,,1.0925678676652288,0.8549999999999999,0.5367005068001027,0.7342290460524542,0.8272727272727273,0.5679380214541121
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Random Forest,50,10.0,1.1005375242084419,0.8768328110926265,0.5299168465964446,0.7323210257279307,0.8090909090909091,0.5004683109584764
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Random Forest,50,20.0,1.0818569893726921,0.8570909090909091,0.5457397998460354,0.7386206817995751,0.8545454545454545,0.563773934527486
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Random Forest,50,30.0,1.0966146252734532,0.8598181818181819,0.5332621247113165,0.7352075209380182,0.8181818181818182,0.5477841422972566
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Random Forest,50,,1.0981339544054642,0.8756363636363637,0.5319679240441364,0.7262933415757297,0.7909090909090909,0.5243128964059196
