dimension_reduction_type,model,n_estimators,max_depth,learning_rate,rmse,mae,r2,spearman_r,within_1_acc,qwk
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Gradient Boosting,100,5,0.05,1.1470129551371866,0.8771896808123878,0.48937552915846316,0.7061391577567413,0.8,0.5409077336518363
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Gradient Boosting,100,5,0.1,1.142894645449894,0.8751544247484219,0.49303570489362747,0.6972255918395787,0.8454545454545455,0.648876404494382
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Gradient Boosting,200,2,0.05,1.0269983228473512,0.8435550588994076,0.5906409027107907,0.7693654362054241,0.8818181818181818,0.6003552397868561
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Gradient Boosting,200,2,0.1,1.0149321927271686,0.8320319737839039,0.6002034576087009,0.7760944857086914,0.9090909090909091,0.6875848954088564
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Gradient Boosting,200,3,0.05,1.044538046250403,0.8305218066922323,0.5765389166736666,0.7493214589616488,0.9090909090909091,0.6644063105452532
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Gradient Boosting,200,3,0.1,1.0506335422630515,0.8422260432801073,0.5715822053646616,0.741816513565074,0.9272727272727272,0.6760116371330336
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Gradient Boosting,200,5,0.05,1.1459186590710069,0.873054939867003,0.4903493765779495,0.7051877616018525,0.8545454545454545,0.625835512932287
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Gradient Boosting,200,5,0.1,1.1480333181353444,0.8776986981167448,0.4884666395772047,0.6946623643349022,0.8727272727272727,0.6783704100777272
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,50,2,0.05,1.280518409802423,1.0401858966129962,0.3734976944677949,0.6204358528212707,0.7818181818181819,0.46212121212121215
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,50,2,0.1,1.2259303764939609,0.9670082943558299,0.42577429079135554,0.650502305930925,0.8,0.49152542372881347
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,50,3,0.05,1.249432062561918,1.0107023227145506,0.403546881954324,0.6364027485609937,0.8181818181818182,0.5355329949238579
