dimension_reduction_type,model,n_estimators,max_depth,learning_rate,rmse,mae,r2,spearman_r,within_1_acc
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Gradient Boosting,200,5,0.05,1.2285818881786268,0.9504036810140654,0.4141678593429955,0.656130820061903,0.8090909090909091
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Gradient Boosting,200,5,0.1,1.2448553373806088,0.9604308434719463,0.3985455410200034,0.6555396612860498,0.8090909090909091
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,50,2,0.05,1.3070540707542913,1.0774995852272433,0.34726315447624156,0.6017071405790663,0.7454545454545455
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,50,2,0.1,1.3006132402114454,1.0579153507788772,0.3536803471084937,0.6066774881411284,0.7454545454545455
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,50,3,0.05,1.3140988917730165,1.0780352053403779,0.3402078891646483,0.5879856615951174,0.7454545454545455
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,50,3,0.1,1.311080155208218,1.08883939615311,0.34323574480066477,0.5871511227187415,0.7090909090909091
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,50,5,0.05,1.3331021220054056,1.0835394217328806,0.32098735864367933,0.5487577236934247,0.7363636363636363
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,50,5,0.1,1.3585552015761428,1.094296503393858,0.29481088596646277,0.5463002141845387,0.6909090909090909
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,100,2,0.05,1.2984247478276876,1.0639175763158029,0.35585359209846,0.6071155057834252,0.7636363636363637
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,100,2,0.1,1.3322635868566657,1.0844192833159827,0.321841302066479,0.5877412938578361,0.7090909090909091
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,100,3,0.05,1.321331201276846,1.08008189561731,0.3329254054135171,0.5913422599487177,0.7090909090909091
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,100,3,0.1,1.3325662661218696,1.082934396794783,0.32153312297096925,0.5897192893162078,0.7
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,100,5,0.05,1.3380133088718797,1.0805243887927611,0.3159751385237568,0.5517639079331876,0.7272727272727273
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,100,5,0.1,1.3694237871817474,1.095898841445527,0.28348257735702675,0.5458760286783144,0.6818181818181818
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,200,2,0.05,1.3232870303753719,1.0864285968043599,0.33094914163402656,0.5991297525575517,0.7181818181818181
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,200,2,0.1,1.3539754340062382,1.0882267204926799,0.2995573381446268,0.581622879001754,0.7181818181818181
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,200,3,0.05,1.3410573281379896,1.0851369795964767,0.31285924519351715,0.5809266614861034,0.7272727272727273
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,200,3,0.1,1.34982738144398,1.095310072418111,0.30384253016133966,0.5665689042428181,0.7181818181818181
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,200,5,0.05,1.3343907574291272,1.0703221649239258,0.31967399692132403,0.5670576397173808,0.7363636363636363
"Lasso (alpha=1.0, top-100) + SMOTE",Gradient Boosting,200,5,0.1,1.3678585074006275,1.0957186371212082,0.2851196297689823,0.5497075303704051,0.6818181818181818
"Ridge (alpha=1.0, top-100) + SMOTE",Gradient Boosting,50,2,0.05,1.2457317267109276,1.0316907392269918,0.4070745785246237,0.6410780105535084,0.7909090909090909
"Ridge (alpha=1.0, top-100) + SMOTE",Gradient Boosting,50,2,0.1,1.2295454310655214,0.9874226059935319,0.4223827149150716,0.6556386391258574,0.8090909090909091
"Ridge (alpha=1.0, top-100) + SMOTE",Gradient Boosting,50,3,0.05,1.2683909585226645,1.0284524404589594,0.38530837581512745,0.6138379239146743,0.7909090909090909
"Ridge (alpha=1.0, top-100) + SMOTE",Gradient Boosting,50,3,0.1,1.2620930492191464,0.992508255086387,0.39139744655227116,0.634088171124857,0.7727272727272727
"Ridge (alpha=1.0, top-100) + SMOTE",Gradient Boosting,50,5,0.05,1.300379350435731,1.0452361952063993,0.353912782027225,0.5833196210266509,0.7545454545454545
"Ridge (alpha=1.0, top-100) + SMOTE",Gradient Boosting,50,5,0.1,1.2783046569979806,1.011062503682876,0.3756620091306019,0.6072768807042713,0.7636363636363637
"Ridge (alpha=1.0, top-100) + SMOTE",Gradient Boosting,100,2,0.05,1.2239220434798148,0.9843673424650188,0.4276541558293204,0.6501242275449426,0.8
"Ridge (alpha=1.0, top-100) + SMOTE",Gradient Boosting,100,2,0.1,1.2354771430778682,0.9726227329423891,0.4167960582929364,0.655703189094196,0.7909090909090909
"Ridge (alpha=1.0, top-100) + SMOTE",Gradient Boosting,100,3,0.05,1.2502345648557642,0.986220178531111,0.4027804397790584,0.6387680438293961,0.7818181818181819
