dimension_reduction_type,n_features,model,mean_squared_error,mean_absolute_error,f1_score,accuracy_score,execution_time_seconds,alpha,prediction_std,max_depth,min_samples_split,n_estimators
All Features,17975,Decision Tree,3.3298582151240628,1.3169415014809749,0.2664314456894619,0.2818181818181818,3.59694766998291,,,10,5.0,
All Features,17975,Decision Tree,2.6543417236790003,1.1976990772385507,0.32523114325076385,0.32727272727272727,3.4883065223693848,,,10,10.0,
All Features,17975,Decision Tree,2.9,1.2454545454545454,0.26154382701697276,0.2636363636363636,3.83569598197937,,,20,2.0,
All Features,17975,Decision Tree,2.6460227272727272,1.1568181818181817,0.3257944216017136,0.32727272727272727,3.824814796447754,,,20,5.0,
All Features,17975,Decision Tree,2.591620116986188,1.15245670995671,0.3308926545824942,0.32727272727272727,3.70171856880188,,,20,10.0,
All Features,17975,Decision Tree,3.0090909090909093,1.2818181818181817,0.2920539090236614,0.2909090909090909,3.834425449371338,,,30,2.0,
All Features,17975,Decision Tree,2.7777777777777777,1.1818181818181819,0.3167761300484413,0.33636363636363636,3.8866066932678223,,,30,5.0,
All Features,17975,Decision Tree,2.8171366213151923,1.2348484848484846,0.3020803738595501,0.3090909090909091,3.7604990005493164,,,30,10.0,
All Features,17975,Decision Tree,2.709090909090909,1.2,0.3009323820769726,0.3,3.845287561416626,,,None,2.0,
All Features,17975,Decision Tree,2.860227272727273,1.231818181818182,0.2982290436835891,0.3,3.8073227405548096,,,None,5.0,
All Features,17975,Decision Tree,2.7687325809111525,1.1912121212121212,0.3324802913802395,0.33636363636363636,3.7694756984710693,,,None,10.0,
All Features,17975,Random Forest,1.6681326377517318,1.0198943186956506,0.26357649305488356,0.2636363636363636,21.185538053512573,,,10,,10.0
All Features,17975,Random Forest,1.652090909090909,1.03,0.2844258869185555,0.3090909090909091,22.542189598083496,,,20,,10.0
All Features,17975,Random Forest,1.6151818181818183,0.9936363636363634,0.2900143453809143,0.2909090909090909,21.125934600830078,,,30,,10.0
All Features,17975,Random Forest,1.4924545454545457,0.9736363636363636,0.30501067386313285,0.3090909090909091,21.64607810974121,,,None,,10.0
All Features,17975,Random Forest,1.5322964580792087,1.024150946339318,0.24566684900722957,0.2545454545454545,42.79436206817627,,,10,,20.0
All Features,17975,Random Forest,1.5880681818181823,1.0259090909090909,0.2558185727085249,0.2545454545454545,42.91728973388672,,,20,,20.0
