feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,target
-14939.492425370563,-342.50857216604993,138.38008626165396,13452.530783115666,-2831.4582554132535,-3062.058256841753,0.0
6519.321399926525,-3588.2543475497473,3506.0865601962005,-1843.9426107227323,-3050.316466116377,-6798.466433868005,3.0
2094.6229298228545,-2511.303857606016,-1620.6094616016792,-2292.6632984688317,-425.8197830989954,-18.728949543208806,2.0
37306.61681763366,-8360.370489936418,7400.586240223889,-968.155408213389,309.1940167763779,-10106.639597924324,5.0
-1524.028659670816,-2192.715940129658,-168.30704989969428,5101.753265307332,-553.358651906586,-61.36065962276198,5.0
-8157.696666453781,-990.2218298973315,-1674.8812082802751,-345.66248621196826,-617.9364322216757,1787.3691848327187,5.0
-7464.361758738729,-1427.3710029097897,1129.676943010926,-618.7254342773808,1713.0691161191442,-287.331502180658,3.0
-12527.683149305052,-319.80089293722136,-2809.0509351384417,-2833.825088713567,256.7137893971265,712.0998587045847,4.0
-6555.946147433576,-1163.1858091419103,-3311.474153651396,-1488.5832325981096,-412.6122426119779,753.5090535298226,5.0
-6805.384401488253,-1323.0952488564756,4016.106144651784,-1830.450877601238,-2977.769868475871,4856.171056521509,5.0
-343.62480450519513,-2257.8391849340496,522.1283533209541,-188.5189518719876,-1128.3660236087226,2637.205015706972,5.0
5865.3847012086535,-2873.8014779187197,-1269.918179270572,-3182.6425515893093,-3114.047791299593,4614.467417241373,5.0
-9785.042975242664,-722.2976730820195,-2533.278979584146,-556.1630394785019,1494.0521794597562,1943.7262915229342,5.0
-7868.56063165782,-1069.1790693957848,-3021.5639084389013,-1281.1500233832953,2510.040389787007,-1349.5089926173114,3.0
-7165.355010901618,-1212.5196688193134,-1356.9361361228553,1270.234445463277,555.4474595739123,948.2989013058332,2.0
-4046.071792139391,-1507.6398867552718,-3234.9519145695203,-2869.569965975676,-769.2226190583667,-676.5984416296543,5.0
-15762.54372413268,1.6456426701249212,-2920.3605942380245,561.131565261279,1617.7651780827628,1424.5683099986745,2.0
-12011.962366363074,-467.53432481325564,-2799.3980528685483,-1488.5283925265237,1160.7571289519979,-57.53973527571894,2.0
5783.685833636446,-3231.7758419499783,78.27133398224329,-2698.0694920458063,878.4238489033617,-3916.3805224418106,5.0
-7369.325280410539,-1356.659327543522,9532.408748243592,-4714.426823232544,-3295.915001710265,3509.888624447995,3.0
21236.21342916013,88830.197064178,-2857.389230379779,-630.2691549088796,-707.7515503964278,1329.251607283056,0.0
2364.1775918176218,-2811.215344592049,350.99534852934397,4833.424231359325,-1490.0473612749468,-5636.136863703261,2.0
-8453.803200142696,-1205.3294787174543,-1157.3534690732504,9854.378376403633,-1591.0921765774885,-2040.9387939561584,2.0
54237.39268647547,-9943.705892097101,-3268.453214093076,670.5904236731851,3558.205531811398,2208.995665581089,3.0
-5122.942521383533,-1424.0909077491337,1246.7026116787272,-2872.444725247211,-445.0364459799141,-462.8491636196017,3.0
8990.783940626608,-3416.2142294400974,-32.30308320270564,-2446.444473642646,-2693.761532363585,2548.0502877513964,5.0
12005.245339647652,-3793.116593859346,-3692.2662578380605,235.60963213639914,-405.3785988345573,2099.1947020248904,5.0
